Ref,Val,Package,PosX,PosY,Rot,Side
L3,INDUCTOR,L_0029v2,141.100000,-58.400000,0.000000,top
L9,10?H,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,85.800000,-80.988000,270.000000,top
L10,10?H,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,85.800000,-89.624000,270.000000,top
Q1,2N7002,TSOT-23,111.461000,-87.719000,270.000000,top
Q2,2N7002,TSOT-23,111.461000,-79.591000,270.000000,top
R1,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,149.420000,-25.220000,270.000000,top
R2,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,127.604000,-147.028000,90.000000,top
R3,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,125.572000,-147.028000,90.000000,top
R4,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,123.540000,-147.028000,270.000000,top
R5,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,121.000000,-147.028000,270.000000,top
R6,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,137.002000,-111.468000,90.000000,top
R7,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,127.858000,-111.468000,90.000000,top
R8,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.221000,-134.328000,180.000000,top
R9,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,123.540000,-140.932000,270.000000,top
R10,49k9,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-128.232000,0.000000,top
R11,49k9,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-134.328000,0.000000,top
R12,475R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,134.208000,-127.216000,0.000000,top
R13,2k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,190.957200,-25.405800,90.000000,top
R14,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.221000,-132.296000,0.000000,top
R15,8k06,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.221000,-126.200000,0.000000,top
R16,8k06,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.221000,-130.264000,0.000000,top
R17,18k2,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.221000,-128.232000,0.000000,top
